episode,total_reward,trades,epsilon
1,-0.8000757575940427,35,0.8647077305675338
2,0.050015780685399316,40,0.6369088258938781
3,-0.5032206806835555,49,0.46912134373457726
4,-1.0689834704275518,49,0.3455358541129786
5,-0.10907485191016518,42,0.25450776877280124
6,-0.15197335226376832,42,0.18746015382974018
7,0.10715443310227174,47,0.13807558583895513
8,1.1488510074385536,42,0.10170090558064004
9,-0.5707697257986943,58,0.07490878371492794
10,0.719408963563347,50,0.05517478773284426
11,0.08671507301441236,49,0.04063952250178857
12,0.4961612063626021,54,0.029933432588273214
13,-0.7234658854193592,53,0.022047758717570132
14,-0.13717937136219724,61,0.016239489508417658
15,-0.6917320905579258,60,0.011961352755726806
16,-0.588392084485217,59,0.00998645168764533
17,0.0,61,0.00998645168764533
18,0.0,61,0.00998645168764533
19,0.0,60,0.00998645168764533
20,0.0,61,0.00998645168764533
21,0.0,61,0.00998645168764533
22,0.0,61,0.00998645168764533
23,0.0,61,0.00998645168764533
24,0.0,61,0.00998645168764533
25,0.0,61,0.00998645168764533
26,0.0,61,0.00998645168764533
27,0.0,61,0.00998645168764533
28,0.0,60,0.00998645168764533
29,0.0,52,0.00998645168764533
30,-0.004695892209366708,23,0.00998645168764533
31,-0.1489148513326902,24,0.00998645168764533
32,-0.09019316057870537,40,0.00998645168764533
33,-0.4494638024327743,41,0.00998645168764533
34,0.856868583736052,35,0.00998645168764533
35,-0.44315228007531365,33,0.00998645168764533
36,-0.2804885280355997,32,0.00998645168764533
37,0.6049759132033804,45,0.00998645168764533
38,-0.266584870870998,41,0.00998645168764533
39,-0.3161849970450106,43,0.00998645168764533
40,0.5762766333181243,47,0.00998645168764533
41,-0.08710297843835595,34,0.00998645168764533
42,-0.04479880264907199,40,0.00998645168764533
43,0.08516757308614326,41,0.00998645168764533
44,-0.2630770140364594,41,0.00998645168764533
45,-0.07945183468817907,41,0.00998645168764533
46,-0.1826550810575529,32,0.00998645168764533
47,-0.44085879310670284,40,0.00998645168764533
48,0.6447309299405248,35,0.00998645168764533
49,0.3116556398791533,44,0.00998645168764533
50,0.35777866661052704,50,0.00998645168764533
51,-0.41060587808155125,49,0.00998645168764533
52,0.5705881227716944,47,0.00998645168764533
53,0.032002299882894186,47,0.00998645168764533
54,-0.08934400586560051,45,0.00998645168764533
55,0.03838761031453579,43,0.00998645168764533
56,-0.6194217360130052,50,0.00998645168764533
57,0.975759269837624,47,0.00998645168764533
58,0.7169042098279599,53,0.00998645168764533
59,-0.05243431618259009,53,0.00998645168764533
60,-0.16117354080809299,51,0.00998645168764533
61,-0.6059756244893679,52,0.00998645168764533
62,-0.27791890658050716,46,0.00998645168764533
63,0.7138711896868568,52,0.00998645168764533
64,-0.629671915090565,54,0.00998645168764533
65,-0.005610438466989248,51,0.00998645168764533
66,-0.08021143188372572,51,0.00998645168764533
67,0.32581124111109816,47,0.00998645168764533
68,0.19085218806241452,49,0.00998645168764533
69,0.2328505565404028,48,0.00998645168764533
70,0.42779536384803335,48,0.00998645168764533
71,-0.13411992278789842,49,0.00998645168764533
72,-0.1343655100906208,49,0.00998645168764533
73,-0.8740790971600942,50,0.00998645168764533
74,0.6940440356186509,47,0.00998645168764533
75,0.27926832647979166,50,0.00998645168764533
76,0.13128632184897063,52,0.00998645168764533
77,0.06465901035513244,48,0.00998645168764533
78,-0.531762164702625,57,0.00998645168764533
79,0.12363011480679233,49,0.00998645168764533
80,-0.26184201468581536,48,0.00998645168764533
81,0.2170033275374234,49,0.00998645168764533
82,-0.22518688122220726,46,0.00998645168764533
83,0.3539110824775679,51,0.00998645168764533
84,0.2574732748819616,52,0.00998645168764533
85,0.2042188792654825,48,0.00998645168764533
86,0.48104747155933064,47,0.00998645168764533
87,0.39002825143932685,56,0.00998645168764533
88,0.3960783446174826,54,0.00998645168764533
89,-0.11520169126057754,54,0.00998645168764533
90,-0.37471184875461777,47,0.00998645168764533
91,0.19961916264431606,52,0.00998645168764533
92,0.1455670363997243,48,0.00998645168764533
93,-0.2121692258470984,53,0.00998645168764533
94,-0.17504845632755495,48,0.00998645168764533
95,-0.20984821212702776,50,0.00998645168764533
96,0.08048891985459292,48,0.00998645168764533
97,0.34770830034363953,50,0.00998645168764533
98,0.3726151752987714,51,0.00998645168764533
99,-0.09584419410156551,48,0.00998645168764533
100,0.19776757101344578,52,0.00998645168764533
